"source_CSOL","transcription","gloss","translation_CSOL"
"vol2text02","ifúḷ yəftódə ɛ́ˀɛfo mən ŝḥaf bə-saḳɔ́ṭri","how benefit_from.3PL.M.IMPF people from milk LOC-Soqotri","“How People Make Use of Milk on Soqotra”"
"vol2text02","nəḥóḷəb ŝḥaf wa-ḷaṭ yóusod bə-ŝiyáṭ ˁaf ľaˁfɛ́ŝ wa-laṭ yənóutog wa-ḷaṭ yərúkob dəy","milk.1PL.IMPF milk and-then put_on_fire.PASS.3SG.M.IMPF LOC-fire until boil.3SG.M.JUSS and-then remove_from_fire.PASS.3SG.M.IMPF and-then put_on.PASS.3SG.M.IMPF GEN.3SG.M","“We milk the milk, then it is put on the fire until it boils. Then it is taken off the fire and freshly milked milk is added.”"
"vol2text02","wa-ḷaṭ néroy wa-yíroy di-gɛ́hɛm di-míṣ̌hər","and-then drink.1PL.IMPF and-drink.3SG.M.IMPF GEN-enter_the_pen.3SG.M.PF GEN-pen","“Then we drink it, and everybody who comes to the pen can drink.”"
"vol2text02","wa-dɛg yəˁúḳaḷ e-ˀəmbórye wa-dɛg yəˁúḳaḷ ḥaľíb šɛ́hi","and-other put.PASS.3SG.M.IMPF for-child.PL and-other put.PASS.3SG.M.IMPF milk_tea tea","“Part of it is left for the children, and part of it is left for making tea with milk.”"
"vol2text02","wa-dɛg yəˁúmor di-gə́zhɛr wa-yhe aḷ-syɛd bə-ŝiyáṭ","and-other make.PASS.3SG.M.IMPF GEN-skin_for_milk and-3SG.M NEG-put_on_fire.PASS.3SG.M.PF LOC-fire","“And part is poured into the shaking skin, but this has not been put on the fire.”"
"vol2text02","wa-yəḥóurɛ mən ḥímaẓ̂ kor yəḥóumaẓ̂ bə-gə́zhɛr","and-look_for.PASS.3SG.M.IMPF from souring_agent SUBR sour_milk.PASS.3SG.M.IMPF LOC-skin_for_milk","“Then sour milk is sought out in order to sour the milk in the shaking skin.”"
"vol2text02","wa-kə́ľľama aḷ-ksö́wə ḥímaẓ̂ yəḥóurɛ mən ḥúbhɛḷ wa-móusɛyn bə-rího di-ṣ̌ə́yyor wa-ḷaṭ yəˁúšor bə-ŝḥaf di-gə́zhɛr wa-ḷaṭ dəhóudaḥ wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂ ","and-if NEG-find.PASS.3SG.M.PF souring_agent look_for.PASS.3SG.M.IMPF from tamarind.PL and-mash.PASS.3PL.F.IMPF LOC-water GEN-be_few.3SG.M.PF and-NEG add.PASS.3SG.M.JUSS LOC-milk GEN-skin_for_milk and-then hit_upon_ground.PASS.3SG.M.IMPF and-put.PASS.3SG.M.IMPF LOC-inside GEN-blanket SUBR be_warm.3SG.M.IMPF and-be_sour.3SG.M.IMPF","“If no sour milk has been found, tamarind fruits are sought out. They are mashed with a bit of water and then added to the milk in the shaking skin. Then the skin is dropped on the ground several times. Then it is left under a blanket to become warm and sour.”"
"vol2text02","wa-ke ḥémaẓ̂ yəšóumaẓ̂ wa-yhe ḥéḷob ˁaf ľišɛ́nḳaḷ","and-when be_sour.3SG.M.PF shake_milk.PASS.3SG.M.IMPF and-3SG.M buttermilk/curds until yield_butter.3SG.M.JUSS","“When it sours, it (the curds) is shaken until it yields butter clumps.”"
"vol2text02","wa-yóuṣaḷ bəy ə́ˀənṭ di-rího kor yətégoḷ ḳáṭməhim diˀáḷ ṭahídidš wa-ḷaṭ yəkóuḷɛ ˁəy dəmdɛ́me (ḳaḷḳáḷe) ˁaf ľiḳṣám","and-add.PASS.3SG.M.IMPF LOC.3SG.M bit GEN-water SUBR collect.PASS.3SG.M.IMPF butter towards together and-then turn.3SG.M.IMPF SUPE.3SG.M swaying (shaking) until become_cold.3SG.M.JUSS","“Then a bit of water is put in so that the clumps of fresh butter join. Then it is rocked gently until it cools.”"
"vol2text02","ḥéḷob yhe ŝḥaf di-ˁímɛr bəy ḥímaz","buttermilk 3SG.M milk GEN-do.PASS.3SG.M.PF LOC.3SG.M souring_agent","“The curds are the milk into which the souring agent was put.”"
