source_ID,motionevent_ID,transcriptionCSOL,unit,gloss,motionTagging,motionPOS,translationCSOL
vol2text02,“001”,wa-ḷaṭ dəhóudaḥ,dəhóudaḥ,hit_upon_ground.PASS.3SG.M.IMPF,path,verb,“Then the skin is dropped on the ground several times”
vol2text02,“001”,wa-ḷaṭ dəhóudaḥ,dəhóudaḥ,hit_upon_ground.PASS.3SG.M.IMPF,figure,sInflV,“Then the skin is dropped on the ground several times”
vol2text02,“001”,wa-ḷaṭ dəhóudaḥ,dəhóudaḥ,hit_upon_ground.PASS.3SG.M.IMPF,ground,verb,“Then the skin is dropped on the ground several times”
vol2text02,“002”,wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂,yəˁúḳaḷ,put.PASS.3SG.M.IMPF,figure,sInflV,“Then it is left under a blanket to become warm and sour.”
vol2text02,“002”,wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂,bə-,LOC-,path,preposition,“Then it is left under a blanket to become warm and sour.”
vol2text02,“002”,wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂,ḳáne di-kánboľ ,inside GEN-blanket,ground,noun,“Then it is left under a blanket to become warm and sour.”
vol2text02,“002”,wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂,yə́yhəb,be_warm.3SG.M.IMPF,cause,verb,“Then it is left under a blanket to become warm and sour.”
vol2text02,“002”,wa-yəˁúḳaḷ bə-ḳáne di-kánboľ kor yə́yhəb wa-yəḥámoẓ̂,yəḥámoẓ̂,be_sour.3SG.M.IMPF,cause,verb,“Then it is left under a blanket to become warm and sour.”
vol2text02,“003”,wa-yóuṣaḷ bəy ə́ˀənṭ di-rího kor yətégoḷ ḳáṭməhim diˀáḷ ṭahídidš,bəy,LOC.3SG.M,path,preposition,“Then a bit of water is put in so that the clumps of fresh butter join”
vol2text02,“003”,wa-yóuṣaḷ bəy ə́ˀənṭ di-rího kor yətégoḷ ḳáṭməhim diˀáḷ ṭahídidš,ə́ˀənṭ di-rího,bit GEN-water,figure,noun,“Then a bit of water is put in so that the clumps of fresh butter join”
vol2text02,“003”,wa-yóuṣaḷ bəy ə́ˀənṭ di-rího kor yətégoḷ ḳáṭməhim diˀáḷ ṭahídidš,yətégoḷ,collect.PASS.3SG.M.IMPF,cause,verb,“Then a bit of water is put in so that the clumps of fresh butter join”
vol2text02,“004”,wa-ḷaṭ yənóuŝob di-ṣ̌ádhər waľľá di-sfəríyye,yənóuŝob,pour.PASS.3SG.M.IMPF,figure,sInflV,“Then it (the fresh butter) is poured into a pot or pan.”
vol2text02,“004”,wa-ḷaṭ yənóuŝob di-ṣ̌ádhər waľľá di-sfəríyye,yənóuŝob,pour.PASS.3SG.M.IMPF,path,verb,“Then it (the fresh butter) is poured into a pot or pan.”
vol2text02,“004”,wa-ḷaṭ yənóuŝob di-ṣ̌ádhər waľľá di-sfəríyye,di-ṣ̌ádhər,GEN-cooking_pot,ground,noun,“Then it (the fresh butter) is poured into a pot or pan.”
vol2text02,“004”,wa-ḷaṭ yənóuŝob di-ṣ̌ádhər waľľá di-sfəríyye,di-sfəríyye,GEN-pan,ground,noun,“Then it (the fresh butter) is poured into a pot or pan.”
vol2text02,“005”,wa-yóusod ḥéḷob bə-ŝiyáṭ di-fḥam wa-ˀaḷ-yəḳóudof ˁəy,ḥéḷob,buttermilk,figure,noun,“Buttermilk is put on glowing embers and not stirred.”
